nr,typ_nosnika,miasto,adres,szerokosc_m,wysokosc_m,powierzchnia_m2,podswietlany,cena,jednostka_ceny,cena_netto,price_negotiable,email_kontaktowy,telefon,status,link_zdjecia,ma_zdjecie,url_zrodlo
001,billboard,Żelazno,Pałac Żelazno,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/001_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/001/zelazno---palac-zelazno
001_02,billboard,Żelazno,Pałac Żelazno,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/001_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/001_02/zelazno---palac-zelazno
003,billboard,Żelazno,Trasa nr33 (ob. zabudowany),6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/003_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/003/zelazno---trasa-nr33-ob-zabudowany
005,billboard,Szalejów Górny,TRASA NR 8,12.17,2.86,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/005_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/005/szalejow-gorny---trasa-nr-8
005_02,billboard,Szalejów Górny,TRASA NR 8,12.17,2.86,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/005_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/005_02/szalejow-gorny---trasa-nr-8
007,billboard,Gołogłowy,3km od Kłodzka,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/007_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/007/gologlowy---3km-od-klodzka
009,billboard,Kudowa Zdrój,,5.05,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/009_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/009/kudowa-zdroj
012,billboard,Kłodzko,Boguszyn,10.24,2.35,24,,1080,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/012_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/012/klodzko---boguszyn
014,billboard,Szalejów Górny,Zjazd na Polanicę Zdrój,4.86,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/014_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/014/szalejow-gorny---zjazd-na-polanice-zdroj
016_01,billboard,Polanica Zdrój,Wjazd od strony Kłodzka,5.97,2.86,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/016_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/016_01/polanica-zdroj---wjazd-od-strony-klodzka
016_02,billboard,Polanica Zdrój,,5.97,2.86,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/016_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/016_02/polanica-zdroj
019,billboard,Szalejów Górny,TRASA NR 8,10.24,2.35,24,,1080,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/019_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/019/szalejow-gorny---trasa-nr-8
021_01,billboard,Kłodzko,"Orlen, ul.Dusznicka",12.2,2.88,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,wolny,https://www.reklama.ai/assets/images/billboardy/021_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/021_01/klodzko---orlen-uldusznicka
021_02,billboard,Kłodzko,"Orlen, ul.Dusznicka",12.2,2.88,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/021_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/021_02/klodzko---orlen-uldusznicka
023,billboard,Szalejów Górny,Tablica podświetlana,5.05,2.38,12,tak,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/023_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/023/szalejow-gorny---tablica-podswietlana
023_02,billboard,Szalejów Górny,Tablica podświetlana,5.05,2.38,12,tak,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/023_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/023_02/szalejow-gorny---tablica-podswietlana
027,billboard,Kłodzko,"Boguszyn, wjazd do Kłodzka",5.97,2.86,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/027_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/027/klodzko---boguszyn-wjazd-do-klodzka
030_01,billboard,Kłodzko,Obwodnica Kłodzka,12.2,2.88,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/030_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/030_01/klodzko---obwodnica-klodzka
030_02,billboard,Kłodzko,Obwodnica Kłodzka,12.2,2.88,36,,1620,month,tak,tak,Ewelina@reklama.ai,602534843,wolny,https://www.reklama.ai/assets/images/billboardy/030_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/030_02/klodzko---obwodnica-klodzka
038,billboard,Kłodzko,"Centrum, przy markecie E.Leclerc",5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/038_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/038/klodzko---centrum-przy-markecie-eleclerc
040,billboard,Kłodzko,"Boguszyn, wjazd do Kłodzka",5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/040_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/040/klodzko---boguszyn-wjazd-do-klodzka
042_01,billboard,Kłodzko,ul. Noworudzka,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/042_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/042_01/klodzko---ul-noworudzka
042_02,billboard,Kłodzko,ul. Noworudzka,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,wolny,https://www.reklama.ai/assets/images/billboardy/042_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/042_02/klodzko---ul-noworudzka
046_01,billboard,Ząbkowice Śląskie,,5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/046_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/046_01/zabkowice-slaskie
046_02,billboard,Ząbkowice Śląskie,,5.04,2.35,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/046_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/046_02/zabkowice-slaskie
047,billboard,Kłodzko,"Boguszyn, wjazd do Kłodzka",5.97,2.86,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/047_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/047/klodzko---boguszyn-wjazd-do-klodzka
047_02,billboard,Kłodzko,"Boguszyn, wyjazd z Kłodzka",5.97,2.86,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/047_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/047_02/klodzko---boguszyn-wyjazd-z-klodzka
050_01,billboard,Ząbkowice Śląskie,,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/050_01_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/050_01/zabkowice-slaskie
050_02,billboard,Ząbkowice Śląskie,,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/050_02_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/050_02/zabkowice-slaskie
054,billboard,Kłodzko,Wjazd od Bystrzycy Kłodzkiej,6.0,2.88,18,,810,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/054_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/054/klodzko---wjazd-od-bystrzycy-klodzkiej
058,billboard,Kłodzko,ul. Noworudzka,5.05,2.38,12,,540,month,tak,tak,Ewelina@reklama.ai,602534843,zarezerwowany,https://www.reklama.ai/assets/images/billboardy/058_01.jpg,tak,https://www.reklama.ai/wynajem_billboardow/tablica/058/klodzko---ul-noworudzka
